Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
JULH,415,0,0.00,0,0.00,24.99,415,0
JANJ,412,0,0.00,0,0.00,24.76,412,0
UJUL,403,0,0.00,0,0.00,31.64,403,0
IGHG,385,0,0.00,0,0.00,76.76,385,0
EFAD,384,1,40.36,0,0.00,37.59,384,0
ARKD,374,1,64.96,0,0.00,41.45,374,0
TMFM,374,0,0.00,0,0.00,25.59,374,0
FLQS,353,3,43.00,0,0.00,38.50,353,0
DOGG,345,100,21.95,100,19.95,20.35,345,0
PSDM,345,0,0.00,0,0.00,50.30,345,0
XBJA,340,0,0.00,0,0.00,26.74,340,0
HYHG,333,0,0.00,0,0.00,64.26,333,0
POCT,331,0,0.00,4,25.00,37.41,331,0
NULC,325,3,46.00,10,40.00,41.28,325,0
USMF,325,3,54.00,0,0.00,44.74,325,0
XEMD,312,0,0.00,0,0.00,40.94,312,0
TOLL,311,0,0.00,0,0.00,29.95,311,0
FJUN,304,0,0.00,0,0.00,46.47,304,0
GFEB,304,0,0.00,0,0.00,33.91,304,0
TRTY,303,0,0.00,10,17.00,25.61,303,0
GJUN,300,0,0.00,0,0.00,33.16,300,0
PBMR,300,0,0.00,0,0.00,25.10,300,0
QJUN,298,0,0.00,0,0.00,25.09,298,0
FJAN,291,0,0.00,0,0.00,41.44,291,0
ADME,278,0,0.00,0,0.00,40.74,278,0
KRUZ,265,150,29.55,10,29.05,29.15,265,0
PIT,259,0,0.00,0,0.00,49.92,259,0
NURE,257,2,32.87,20,25.21,29.68,257,0
VFMF,256,1,135.00,0,0.00,122.27,256,0
BAMA,254,0,0.00,0,0.00,27.94,254,0
UMAY,252,0,0.00,0,0.00,30.41,252,0
CMCI,251,0,0.00,0,0.00,26.00,251,0
MDLV,246,0,0.00,0,0.00,25.29,246,0
LKOR,242,0,0.00,0,0.00,41.45,242,0
BKGI,240,0,0.00,0,0.00,28.46,240,0
SATO,234,3,18.00,1,11.00,13.25,234,0
XDQQ,232,0,0.00,0,0.00,27.37,232,0
APRD,224,0,0.00,0,0.00,24.31,224,0
ARKZ,220,0,0.00,50,36.25,37.78,220,0
APRP,205,0,0.00,0,0.00,24.50,205,0
MOHR,204,0,0.00,0,0.00,20.97,204,0
PSMR,200,0,0.00,0,0.00,25.06,200,0
QSPT,200,0,0.00,0,0.00,24.63,200,0
BINV,198,0,0.00,0,0.00,29.05,198,0
SPMV,196,3,48.00,0,0.00,41.35,196,0
GTIP,190,12,55.59,1,46.73,48.07,190,0
PBTP,187,27,25.26,1,24.25,25.07,186,1
NFLP,184,6,33.00,1,25.00,29.19,84,100
XTAP,183,0,0.00,0,0.00,30.26,183,0
FPAG,179,0,0.00,0,0.00,28.30,179,0
BALI,169,0,0.00,1,27.80,27.86,169,0
AMZP,168,0,0.00,0,0.00,29.91,167,1
IVVW,166,0,0.00,0,0.00,48.94,112,54
TMDV,164,0,0.00,6,42.00,46.60,164,0
BSEP,163,0,0.00,0,0.00,38.55,163,0
BAMB,159,0,0.00,0,0.00,25.40,159,0
XISE,155,0,0.00,0,0.00,30.53,155,0
GAUG,151,0,0.00,0,0.00,32.74,151,0
NJAN,145,0,0.00,0,0.00,42.81,145,0
BOCT,144,0,0.00,0,0.00,40.12,144,0
SELV,144,0,0.00,0,0.00,26.75,144,0
LAPR,140,0,0.00,0,0.00,24.94,140,0
GHYG,139,0,0.00,0,0.00,43.47,139,0
IEDI,137,0,0.00,0,0.00,46.89,37,100
